 theta         eta          phi
   0.0000000000000000        1.0000000000000000        0.0000000000000000       -0.0000000000000000     
   5.0000000000000003E-002  0.99958333333333338       -1.6666666666666666E-002   4.1666666666666672E-005
  0.10000000000000001       0.99833333333333341       -3.3333333333333333E-002   3.3333333333333338E-004
  0.15000000000000002       0.99625000000000008       -5.0000000000000003E-002   1.1250000000000003E-003
  0.20000000000000001       0.99333333333333340       -6.6666666666666666E-002   2.6666666666666670E-003
  0.25000000000000000       0.98958333333333337       -8.3333333333333329E-002   5.2083333333333330E-003
  0.29999999999999999       0.98499999999999999      -0.10000000000000001        8.9999999999999993E-003
  0.34999999999999998       0.97958333333333336      -0.11666666666666667        1.4291666666666664E-002
  0.39999999999999997       0.97333333333333338      -0.13333333333333333        2.1333333333333329E-002
  0.44999999999999996       0.96625000000000005      -0.14999999999999999        3.0374999999999992E-002
  0.49999999999999994       0.95833333333333337      -0.16666666666666666        4.1666666666666657E-002
  0.54999999999999993       0.94958333333333333      -0.18333333333333332        5.5458333333333318E-002
  0.59999999999999998       0.93999999999999995      -0.19999999999999998        7.1999999999999995E-002
  0.65000000000000002       0.92958333333333332      -0.21666666666666665        9.1541666666666660E-002
  0.70000000000000007       0.91833333333333333      -0.23333333333333331       0.11433333333333334     
  0.75000000000000011       0.90625000000000000      -0.24999999999999997       0.14062500000000003     
  0.80000000000000016       0.89333333333333331      -0.26666666666666666       0.17066666666666674     
  0.85000000000000020       0.87958333333333327      -0.28333333333333333       0.20470833333333344     
  0.90000000000000024       0.86499999999999999      -0.29999999999999999       0.24300000000000013     
  0.95000000000000029       0.84958333333333336      -0.31666666666666665       0.28579166666666683     
   1.0000000000000002       0.83333333333333337      -0.33333333333333331       0.33333333333333348     
   1.0500000000000003       0.81625000000000003      -0.34999999999999998       0.38587500000000019     
   1.1000000000000003       0.79833333333333334      -0.36666666666666664       0.44366666666666688     
   1.1500000000000004       0.77958333333333329      -0.38333333333333330       0.50695833333333362     
   1.2000000000000004       0.76000000000000001      -0.39999999999999997       0.57600000000000029     
   1.2500000000000004       0.73958333333333337      -0.41666666666666663       0.65104166666666707     
   1.3000000000000005       0.71833333333333338      -0.43333333333333329       0.73233333333333384     
   1.3500000000000005       0.69625000000000004      -0.44999999999999996       0.82012500000000055     
   1.4000000000000006       0.67333333333333334      -0.46666666666666662       0.91466666666666729     
   1.4500000000000006       0.64958333333333329      -0.48333333333333328        1.0162083333333340     
   1.5000000000000007       0.62500000000000000      -0.49999999999999994        1.1250000000000009     
   1.5500000000000007       0.59958333333333336      -0.51666666666666661        1.2412916666666676     
